category,text
relevent,Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!
not_relevent,Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed £1000 cash or £5000 prize!
relevent,Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?
not_relevent,"Your free ringtone is waiting to be collected. Simply text the password ""MIX"" to 85069 to verify. Get Usher and Britney. FML, PO Box 5249, MK17 92H. 450Ppw 16"
relevent,Watching telugu movie..wat abt u?
relevent,i see. When we finish we have loads of loans to pay
relevent,"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?"""
relevent,I see a cup of coffee animation
relevent,Please don't text me anymore. I have nothing else to say.
relevent,Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx
relevent,I'm still looking for a car to buy. And have not gone 4the driving test yet.
relevent,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune
relevent,"wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston."
relevent,Umma my life and vava umma love you lot dear
relevent,Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.
relevent,"Aight, I'll hit you up when I get some cash"
relevent,How would my ip address test that considering my computer isn't a minecraft server
relevent,I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...
relevent,Dont worry. I guess he's busy.
relevent,What is the plural of the noun research?
relevent,Going for dinner.msg you after.
relevent,I'm ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u said not too loud.
not_relevent,GENT! We are trying to contact you. Last weekends draw shows that you won a £1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm
relevent,"Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?"
relevent,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there."
not_relevent,You are a winner U have been specially selected 2 receive £1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+)
relevent,Goodo! Yes we must speak friday - egg-potato ratio for tortilla needed!
relevent,Hmm...my uncle just informed me that he's paying the school directly. So pls buy food.
not_relevent,PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires
not_relevent,"URGENT! Your Mobile No. was awarded £2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM"
relevent,here is my new address -apples&pairs&all that malarky
not_relevent,Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app
relevent,I am going to sao mu today. Will be done only at 12
relevent,Ü predict wat time ü'll finish buying?
relevent,"Good stuff, will do."
relevent,"Just so that you know,yetunde hasn't sent money yet. I just sent her a text not to bother sending. So its over, you dont have to involve yourself in anything. I shouldn't have imposed anything on you in the first place so for that, i apologise."
relevent,Are you there in room.
relevent,HEY GIRL. HOW R U? HOPE U R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME A CALL SUM TIME FROM LUCYxx
relevent,K..k:)how much does it cost?
relevent,I'm home.
relevent,"Dear, will call Tmorrow.pls accomodate."
relevent,First answer my question.
not_relevent,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. £1.50 SP:Tyrone
not_relevent,Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p
relevent,I only haf msn. It's yijue@hotmail.com
relevent,He is there. You call and meet him
relevent,No no. I will check all rooms befor activities
not_relevent,You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again
relevent,Got c... I lazy to type... I forgot ü in lect... I saw a pouch but like not v nice...
relevent,"K, text me when you're on the way"
relevent,"Sir, Waiting for your mail."
relevent,"A swt thought: ""Nver get tired of doing little things 4 lovable persons.."" Coz..somtimes those little things occupy d biggest part in their Hearts.. Gud ni8"
relevent,I know you are. Can you pls open the back?
relevent,Yes see ya not on the dot
relevent,Whats the staff name who is taking class for us?
not_relevent,"FreeMsg Why haven't you replied to my text? I'm Randy, sexy, female and live local. Luv to hear from u. Netcollex Ltd 08700621170150p per msg reply Stop to end"
relevent,Ummma.will call after check in.our life will begin from qatar so pls pray very hard.
relevent,K..i deleted my contact that why?
relevent,Sindu got job in birla soft ..
relevent,The wine is flowing and i'm i have nevering..
relevent,Yup i thk cine is better cos no need 2 go down 2 plaza mah.
relevent,Ok... Ur typical reply...
relevent,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune
relevent,"You are everywhere dirt, on the floor, the windows, even on my shirt. And sometimes when i open my mouth, you are all that comes flowing out. I dream of my world without you, then half my chores are out too. A time of joy for me, lots of tv shows i.ll see. But i guess like all things you just must exist, like rain, hail and mist, and when my time here is done, you and i become one."
relevent,Aaooooright are you at work?
relevent,I'm leaving my house now...
relevent,"Hello, my love. What are you doing? Did you get to that interview today? Are you you happy? Are you being a good boy? Do you think of me?Are you missing me ?"
not_relevent,Customer service annoncement. You have a New Years delivery waiting for you. Please call 07046744435 now to arrange delivery
not_relevent,You are a winner U have been specially selected 2 receive £1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810
relevent,Keep yourself safe for me because I need you and I miss you already and I envy everyone that see's you in real life
relevent,New car and house for my parents.:)i have only new job in hand:)
relevent,I'm so in love with you. I'm excited each day i spend with you. You make me so happy.
not_relevent,-PLS STOP bootydelious (32/F) is inviting you to be her friend. Reply YES-434 or NO-434 See her: www.SMS.ac/u/bootydelious STOP? Send STOP FRND to 62468
not_relevent,"BangBabes Ur order is on the way. U SHOULD receive a Service Msg 2 download UR content. If U do not, GoTo wap. bangb. tv on UR mobile internet/service menu"
relevent,I place all ur points on e cultures module already.
not_relevent,URGENT! We are trying to contact you. Last weekends draw shows that you have won a £900 prize GUARANTEED. Call 09061701939. Claim code S89. Valid 12hrs only
relevent,"Hi frnd, which is best way to avoid missunderstding wit our beloved one's?"
relevent,Great escape. I fancy the bridge but needs her lager. See you tomo
relevent,Yes :)it completely in out of form:)clark also utter waste.
relevent,"Sir, I need AXIS BANK account no and bank address."
relevent,"Hmmm.. Thk sure got time to hop ard... Ya, can go 4 free abt... Muz call u to discuss liao..."
relevent,What time you coming down later?
relevent,"Bloody hell, cant believe you forgot my surname Mr . Ill give u a clue, its spanish and begins with m..."
relevent,"Well, i'm gonna finish my bath now. Have a good...fine night."
relevent,Let me know when you've got the money so carlos can make the call
relevent,U still going to the mall?
relevent,"Turns out my friends are staying for the whole show and won't be back til ~ &lt;#&gt; , so feel free to go ahead and smoke that $ &lt;#&gt;  worth"
relevent,Text her. If she doesnt reply let me know so i can have her log in
relevent,Hi! You just spoke to MANEESHA V. We'd like to know if you were satisfied with the experience. Reply Toll Free with Yes or No.
relevent,You lifted my hopes with the offer of money. I am in need. Especially when the end of the month approaches and it hurts my studying. Anyways have a gr8 weekend
relevent,Lol no. U can trust me.
relevent,ok. I am a gentleman and will treat you with dignity and respect.
relevent,"He will, you guys close?"
relevent,Going on nothing great.bye
relevent,Hello handsome ! Are you finding that job ? Not being lazy ? Working towards getting back that net for mummy ? Where's my boytoy now ? Does he miss me ?
relevent,"Haha awesome, be there in a minute"
not_relevent,Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed £1000 cash or £5000 prize!
relevent,Have you got Xmas radio times. If not i will get it now
relevent,I jus reached home. I go bathe first. But my sis using net tell u when she finishes k...
not_relevent,Are you unique enough? Find out from 30th August. www.areyouunique.co.uk
relevent,I'm sorry. I've joined the league of people that dont keep in touch. You mean a great deal to me. You have been a friend at all times even at great personal cost. Do have a great week.|
relevent,Hi :)finally i completed the course:)
relevent,It will stop on itself. I however suggest she stays with someone that will be able to give ors for every stool.
relevent,How are you doing? Hope you've settled in for the new school year. Just wishin you a gr8 day
relevent,Gud mrng dear hav a nice day
relevent,Did u got that persons story
relevent,is your releventster dead? Hey so tmr i meet you at 1pm orchard mrt?
relevent,Hi its Kate how is your evening? I hope i can see you tomorrow for a bit but i have to bloody babyjontet! Txt back if u can. :) xxx
relevent,"Found it, ENC  &lt;#&gt; , where you at?"
relevent,I sent you  &lt;#&gt;  bucks
relevent,Hello darlin ive finished college now so txt me when u finish if u can love Kate xxx
relevent,Your account has been refilled successfully by INR  &lt;DECIMAL&gt; . Your KeralaCircle prepaid account balance is Rs  &lt;DECIMAL&gt; . Your Transaction ID is KR &lt;#&gt; .
relevent,Goodmorning sleeping ga.
relevent,U call me alter at 11 ok.
relevent,Ü say until like dat i dun buy ericsson oso cannot oredi lar...
relevent,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there."
relevent,"Aight yo, dats straight dogg"
relevent,You please give us connection today itself before  &lt;DECIMAL&gt;  or refund the bill
relevent,Both :) i shoot big loads so get ready!
relevent,"What's up bruv, hope you had a great break. Do have a rewarding semester."
relevent,Home so we can always chat
relevent,K:)k:)good:)study well.
relevent,Yup... How ü noe leh...
relevent,Sounds great! Are you home now?
relevent,Finally the match heading towards draw as your prediction.
relevent,Tired. I haven't slept well the past few nights.
relevent,Easy ah?sen got selected means its good..
relevent,I have to take exam with march 3
relevent,Yeah you should. I think you can use your gt atm now to register. Not sure but if there's anyway i can help let me know. But when you do be sure you are ready.
relevent,Ok no prob. Take ur time.
relevent,There is os called ubandu which will run without installing in hard disk...you can use that os to copy the important files in system and give it to repair shop..
relevent,"Sorry, I'll call later"
relevent,U say leh... Of course nothing happen lar. Not say v romantic jus a bit only lor. I thk e nite scenery not so nice leh.
not_relevent,"500 New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today!From ONLY £1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18"
relevent,Would really appreciate if you call me. Just need someone to talk to.
not_relevent,"Will u meet ur dream partner soon? Is ur career off 2 a flyng start? 2 find out free, txt HORO followed by ur star sign, e. g. HORO ARIES"
relevent,Hey company elama po mudyadhu.
relevent,"Life is more strict than teacher... Bcoz Teacher teaches lesson &amp; then conducts exam, But Life first conducts Exam &amp; then teaches Lessons. Happy morning. . ."
relevent,Dear good morning now only i am up
relevent,Get down in gandhipuram and walk to cross cut road. Right side &lt;#&gt; street road and turn at first right.
relevent,Dear we are going to our rubber place
relevent,"Sorry battery died, yeah I'm here"
relevent,Yes:)here tv is always available in work place..
not_relevent,Text & meet someone sexy today. U can find a date or even flirt its up to U. Join 4 just 10p. REPLY with NAME & AGE eg Sam 25. 18 -msg recd@thirtyeight pence
relevent,I have printed it oh. So  &lt;#&gt;  come upstairs
relevent,Or ill be a little closer like at the bus stop on the same street
relevent,Where are you?when wil you reach here?
relevent,"New Theory: Argument wins d SITUATION, but loses the PERSON. So dont argue with ur friends just.. . . . kick them &amp; say, I'm always correct.!"
not_relevent,U 447801259231 have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094597
relevent,Tomarrow final hearing on my laptop case so i cant.
relevent,PLEASSSSSSSEEEEEE TEL ME V AVENT DONE SPORTSx
relevent,"Okay. No no, just shining on. That was meant to be signing, but that sounds better."
relevent,"Although i told u dat i'm into baig face watches now but i really like e watch u gave cos it's fr u. Thanx 4 everything dat u've done today, i'm touched..."
relevent,U don't remember that old commercial?
relevent,Too late. I said i have the website. I didn't i have or dont have the slippers
relevent,I asked you to call him now ok
relevent,Kallis wont bat in 2nd innings.
relevent,It didnt work again oh. Ok goodnight then. I.ll fix and have it ready by the time you wake up. You are very dearly missed have a good night sleep.
not_relevent,Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16
relevent,Ranjith cal drpd Deeraj and deepak 5min hold
relevent,"Wen ur lovable bcums angry wid u, dnt take it seriously.. Coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... Have nice day da."
relevent,What you doing?how are you?
relevent,"Ups which is 3days also, and the shipping company that takes 2wks. The other way is usps which takes a week but when it gets to lag you may have to bribe nipost to get your stuff."
relevent,"I'm back, lemme know when you're ready"
relevent,Don't necessarily expect it to be done before you get back though because I'm just now headin out
relevent,Mmm so yummy babe ... Nice jolt to the suzy
relevent,Where are you lover ? I need you ...
not_relevent,We tried to contact you re your reply to our offer of a Video Handset? 750 anytime networks mins? UNLIMITED TEXT? Camcorder? Reply or call 08000930705 NOW
relevent,I‘m parked next to a MINI!!!! When are you coming in today do you think?
relevent,Yup
relevent,Anyway i'm going shopping on my own now. Cos my sis not done yet. Dun disturb u liao.
relevent,MY NO. IN LUTON 0125698789 RING ME IF UR AROUND! H*
not_relevent,Hey I am really horny want to chat or see me naked text hot to 69698 text charged at 150pm to unsubscribe text stop 69698
relevent,Why you Dint come with us.
relevent,Same. Wana plan a trip sometme then
relevent,"Not sure yet, still trying to get a hold of him"
not_relevent,Ur ringtone service has changed! 25 Free credits! Go to club4mobiles.com to choose content now! Stop? txt CLUB STOP to 87070. 150p/wk Club4 PO Box1146 MK45 2WT
relevent,The evo. I just had to download flash. Jealous?
not_relevent,Ringtone Club: Get the UK singles chart on your mobile each week and choose any top quality ringtone! This message is free of charge.
relevent,"Come to mu, we're sorting out our narcotics situation"
relevent,"Night has ended for another day, morning has come in a special way. May you smile like the sunny rays and leaves your worries at the blue blue bay."
not_relevent,HMV BONUS SPECIAL 500 pounds of genuine HMV vouchers to be won. Just answer 4 easy questions. Play Now! Send HMV to 86688 More info:www.100percent-real.com
relevent,"Usf I guess, might as well take 1 car"
relevent,No objection. My bf not coming.
relevent,Thanx...
relevent,Tell rob to mack his gf in the theater
relevent,"Awesome, I'll see you in a bit"
relevent,Just sent it. So what type of food do you like?
relevent,All done? All handed in? Celebrations in full swing yet?
relevent,You got called a tool?
relevent,"Wen u miss someone, the person is definitely special for u..... But if the person is so special, why to miss them, just Keep-in-touch gdeve.."
relevent,Ok. I asked for money how far
relevent,Okie...
relevent,"Yeah I think my usual guy's still passed out from last night, if you get ahold of anybody let me know and I'll throw down"
relevent,"K, I might come by tonight then if my class lets out early"
relevent,Ok..
relevent,hi baby im cruisin with my girl friend what r u up 2? give me a call in and hour at home if thats alright or fone me on this fone now love jenny xxx
relevent,"My life Means a lot to me, Not because I love my life, But because I love the people in my life, The world calls them friends, I call them my World:-).. Ge:-).."
relevent,"Dear,shall mail tonite.busy in the street,shall update you tonite.things are looking ok.varunnathu edukkukayee raksha ollu.but a good one in real sense."
relevent,Hey you told your name to gautrelevent ah?
relevent,Haf u found him? I feel so stupid da v cam was working.
relevent,Oops. 4 got that bit.
relevent,Are you this much buzy
relevent,I accidentally deleted the message. Resend please.
not_relevent,T-Mobile customer you may now claim your FREE CAMERA PHONE upgrade & a pay & go sim card for your loyalty. Call on 0845 021 3680.Offer ends 28thFeb.T&C's apply
relevent,Unless it's a situation where YOU GO GURL would be more appropriate
relevent,Hurt me... Tease me... Make me cry... But in the end of my life when i die plz keep one rose on my grave and say STUPID I MISS U.. HAVE A NICE DAY BSLVYL
relevent,I cant pick the phone right now. Pls send a message
relevent,Need a coffee run tomo?Can't believe it's that time of week already
relevent,"Awesome, I remember the last time we got somebody high for the first time with diesel :V"
relevent,"Shit that is really shocking and scary, cant imagine for a second. Def up for night out. Do u think there is somewhere i could crash for night, save on taxi?"
relevent,Oh and by the way you do have more food in your fridge! Want to go out for a meal tonight?
relevent,He is a womdarfull actor
not_relevent,"SMS. ac Blind Date 4U!: Rodds1 is 21/m from Aberdeen, United Kingdom. Check Him out http://img. sms. ac/W/icmb3cktz8r7!-4 no Blind Dates send HIDE"
relevent,Yup... From what i remb... I think should be can book...
relevent,Jos ask if u wana meet up?
relevent,Lol yes. Our friendship is hanging on a thread cause u won't buy stuff.
not_relevent,"TheMob> Check out our newest selection of content, Games, Tones, Gossip, babes and sport, Keep your mobile fit and funky text WAP to 82468"
relevent,Where are the garage keys? They aren't on the bookshelf
relevent,Today is ACCEPT DAY..U Accept me as? Brother Sister Lover Dear1 Best1 Clos1 Lvblefrnd Jstfrnd Cutefrnd Lifpartnr Belovd Swtheart Bstfrnd No rply means enemy
not_relevent,"Think ur smart ? Win £200 this week in our weekly quiz, text PLAY to 85222 now!T&Cs WinnersClub PO BOX 84, M26 3UZ. 16+. GBP1.50/week"
relevent,He says he'll give me a call when his friend's got the money but that he's definitely buying before the end of the week
relevent,"Hi the way I was with u 2day, is the normal way&this is the real me. UR unique&I hope I know u 4 the rest of mylife. Hope u find wot was lost."
relevent,You made my day. Do have a great day too.
relevent,K.k:)advance happy pongal.
relevent,"Hmmm... Guess we can go 4 kb n power yoga... Haha, dunno we can tahan power yoga anot... Thk got lo oso, forgot liao..."
relevent,"Not really dude, have no friends i'm afraid :("
not_relevent,December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update Co FREE on 08002986906
relevent,"Coffee cake, i guess..."
relevent,"Merry Christmas to you too babe, i love ya *kisses*"
relevent,Hey... Why dont we just go watch x men and have lunch... Haha
relevent,cud u tell ppl im gona b a bit l8 cos 2 buses hav gon past cos they were full & im still waitin 4 1. Pete x
relevent,That would be great. We'll be at the Guild. Could meet on Bristol road or somewhere - will get in touch over weekend. Our plans take flight! Have a good week
relevent,No problem. How are you doing?
relevent,No calls..messages..missed calls
relevent,Hi da:)how is the todays class?
relevent,"I'd say that's a good sign but, well, you know my track record at reading women"
relevent,"Cool, text me when you're parked"
relevent,I'm reading the text i just sent you. Its meant to be a joke. So read it in that light
relevent,K.k:)apo k.good movie.
relevent,Maybe i could get book out tomo then return it immediately ..? Or something.
not_relevent,Call Germany for only 1 pence per minute! Call from a fixed line via access number 0844 861 85 85. No prepayment. Direct access!
relevent,Any chance you might have had with me evaporated as soon as you violated my privacy by stealing my phone number from your employer's paperwork. Not cool at all. Please do not contact me again or I will report you to your supervisor.
not_relevent,Valentines Day Special! Win over £1000 in our quiz and take your partner on the trip of a lifetime! Send GO to 83600 now. 150p/msg rcvd. CustCare:08718720201.
relevent,"Ta-Daaaaa! I am home babe, are you still up ?"
relevent,Cool. So how come you havent been wined and dined before?
relevent,Just sleeping..and surfing
relevent,"Sorry, I'll call later"
relevent,U calling me right? Call my hand phone...
relevent,Ok that's great thanx a lot.
relevent,I take it the post has come then! You must have 1000s of texts now! Happy reading. My one from wiv hello caroline at the end is my favourite. Bless him
relevent,Where u been hiding stranger?
relevent,Am not interested to do like that.
relevent,My sister cleared two round in birla soft yesterday.
relevent,Gudnite....tc...practice going on
relevent,Dis is yijue. I jus saw ur mail. In case huiming havent sent u my num. Dis is my num.
relevent,One small prestige problem now.
not_relevent,Fancy a shag? I do.Interested? sextextuk.com txt XXUK SUZY to 69876. Txts cost 1.50 per msg. TnCs on website. X
relevent,Just checking in on you. Really do miss seeing Jeremiah. Do have a great month
relevent,"Nah can't help you there, I've never had an iphone"
relevent,If you're not in my car in an hour and a half I'm going apeshit
relevent,"TODAY is Sorry day.! If ever i was angry with you, if ever i misbehaved or hurt you? plz plz JUST SLAP URSELF Bcoz, Its ur fault, I'm basically GOOD"
relevent,Yo you guys ever figure out how much we need for alcohol? Jay and I are trying to figure out how much we can safely spend on weed
relevent,&lt;#&gt; ISH MINUTES WAS 5 MINUTES AGO. WTF.
relevent,"Thank You for calling.Forgot to say Happy Onam to you Sirji.I am fine here and remembered you when i met an insurance person.Meet You in Qatar Insha Allah.Rakhesh, ex Tata AIG who joined TISSCO,Tayseer."
not_relevent,Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16
not_relevent,Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send CASH to 86688 only 150p/msg. CC: 08708800282 HG/Suite342/2Lands Row/W1J6HL
relevent,"I'm an actor. When i work, i work in the evening and sleep late. Since i'm unemployed at the moment, i ALWAYS sleep late. When you're unemployed, every day is saturday."
